name,price,processor_type,graphics_card,motherboard_chipset
Komputronik Infinity X300 [B4],3999.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X512 [E5],6190.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4)
Komputronik Infinity X300 [B3],3399.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity X712 [A4],10990.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3060 Ti,Intel Z690  (Asus Z690-P WIFI D4)
MSI MAG Infinite S 10TC-090EU,4899.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
Komputronik IEM X712 [A2],13490.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
Komputronik Powered by ASUS [E2],4099.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650  (ASUS GeForce GTX 1650),Intel H410  (Asus PRIME H410M-K R2.0)
Komputronik Infinity X512 [D3],4599.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Lenovo Legion T5-26IOB6 (90RT00SAPL),7890.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce RTX 3070,Intel B560
HP Pavilion GAMING TG01-1003nw (385Y3EA) Czarny,3599.0,"5 4600G (3.7 GHz, 4.2 GHz Turbo, 8 MB Cache, 65W)",GeForce GTX 1650,
Komputronik Infinity HC912 [A02],17690.0,"i9-12900 (2.4 GHz, 5.1 GHz Turbo, 30MB Cache 202W)",GeForce RTX 3080 Ti  (Asus TUF),Intel Z690  (ASUS TUF Gaming-Plus WiFi)
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 512GB M.2 PCIe + 1TB HDD | 32GB | Windows 11 Home,5790.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Komputronik Infinity X711 [D5],8790.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Komputronik Infinity R550 [M4],7290.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Infinity R550 [M5],6790.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Infinity R550 [P8],6190.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Powered by ASUS [ProArt-B1],16390.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3080 Ti,Intel Z690  (ProArt Z690-CREATOR WiFi)
Komputronik Infinity X512 [J6],6790.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (Gigabyte B660M DS3H AX DDR4)
Komputronik Infinity HC712 [A01],14490.0,"i7-12700K (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF Gaming Z690-Plus Wifi D4)
Komputronik Powered by ASUS [ProArt-B3],16790.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3080 Ti,Intel Z690  (ProArt Z690-CREATOR WiFi)
Komputronik Infinity R550 [R1],5490.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Ultimate R750 [D3],10490.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Radeon RX 6700 XT,AMD B550  (ASUS ROG STRIX B550-E GAMING)
Komputronik Infinity R550 [P3],5190.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity X510 [S1],3799.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H510  (ASUS PRIME H510M-E)
Komputronik Ultimate R750 [D1],9990.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Radeon RX 6700 XT,AMD B550  (ASUS ROG STRIX B550-E GAMING)
Komputronik Infinity X711 [D1],8490.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Komputronik Infinity R550 [M1],6390.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Infinity X712 [A3],9990.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3060 Ti,Intel Z690  (Asus Z690-P WIFI D4)
Komputronik Infinity R550 [P2],5490.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity X712 [C6],8690.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X511 [L4],5890.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3050,Intel H510  (ASUS PRIME H510M-E)
Komputronik Infinity R550 [R8],6990.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity X511 [F7],4449.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Komputronik Infinity R550 [K4],6790.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity R550 [R4],6490.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity R550 [K5],6390.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity X711 [D8],9990.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Komputronik Infinity R550 [K6],6990.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity X711 [D6],9190.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Komputronik Powered by ASUS [E3],3999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650  (ASUS GeForce GTX 1650),Intel H410  (Asus PRIME H410M-K R2.0)
Komputronik Infinity R550 [N5],7190.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Infinity R550 [M3],6890.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Infinity R550 [R7],6390.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity R550 [R2],6190.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity R550 [P4],5790.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity R550 [K7],6690.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Powered by ASUS [E4],4599.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650  (ASUS GeForce GTX 1650),Intel H410  (Asus PRIME H410M-K R2.0)
Komputronik Infinity R550 [N1],6690.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Infinity R550 [R6],6690.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity R550 [M7],7090.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2)
Komputronik Infinity X512 [M4],9590.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity R550 [P7],5590.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity X712 [B4],8790.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X300 [C4],4349.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity R550 [P6],5890.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity X712 [B7],8490.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X711 [D7],8790.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Komputronik Infinity X312 [B3],4349.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Ultimate X712 [B2],8990.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X712 [C8],9090.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [M8],9590.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X712 [E4],7890.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity R550 [K1],5890.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity X300 [C3],3699.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)",GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0)
Komputronik Infinity R550 [N6],7790.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Ultimate X712 [B3],8590.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity R550 [K3],6190.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Ultimate X712 [C1],9590.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3070 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity R550 [R3],5890.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity X512 [M7],8990.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X712 [D8],8190.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X712 [D3],7190.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X312 [B4],4949.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity R550 [N7],7490.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Infinity R550 [N4],7690.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Infinity R550 [N8],8090.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Infinity X712 [D7],7590.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [L8],8990.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X512 [L4],8590.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X711 [D3],8990.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Komputronik Ultimate X712 [C3],9790.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3070 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X712 [E7],7890.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X712 [E3],7290.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X510 [K7],6090.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M Aorus Elite)
Komputronik Infinity X512 [K5],7290.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [L5],8090.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X512 [K8],7790.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X711 [D4],9490.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",Geforce RTX 3060,Intel Z590
Komputronik Ultimate X712 [B1],7890.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [F6],6790.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X512 [F5],6290.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X512 [L3],7990.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X512 [L1],7690.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X712 [D4],7890.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity R550 [N3],7090.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Infinity X312 [A4],4999.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity X512 [M5],8890.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X712 [C4],9090.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [B5],6190.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity X712 [C3],8390.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [L7],8490.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",Geforce RTX 3060,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X512 [M3],8890.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity X312 [D4],6490.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",Geforce RTX 3060,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X712 [C7],8390.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [B6],6590.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity X512 [K4],7790.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [K7],7590.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Lenovo Legion T5-26IOB6 (90RT00C4PL),4999.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560
MSI MAG Codex 5 11TC-460EU - 512GB M.2 PCIe + 1TB HDD,5690.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
Komputronik IEM X712 [A4],13290.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF GAMING Z690-PLUS WIFI D4)
Komputronik Ultimate X711 [L2],9990.0,"i7-11700KF (3.6 GHz, 5.0 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070 Ti,Intel Z590  (Gigabyte Z590 Gaming X)
Komputronik Ultimate X711 [D1],7990.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070  (Gigabyte GeForce RTX 3070 Gaming 8GB),Intel Z590  (Gigabyte Z590 GAMING X)
Komputronik Ultimate X700 [E1],8990.0,"i7-10700KF (3.80 GHz, 5.10 GHz Turbo, 16 MB Cache, 125W)",GeForce RTX 3070 Ti,Intel Z590  (Asus TUF Gaming Z590-PLUS WiFi)
Komputronik Infinity X512 [D4] [oferta Outlet],4941.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
MSI MAG Infinite S3 11SH-004EU [oferta Outlet],4392.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1660,Intel H510
Komputronik Infinity X510 [K2] [oferta Outlet],,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M Aorus Elite)
Komputronik Infinity X312 [A2] [oferta Outlet],,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity R550 [F2] [oferta Outlet],6072.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060  (Gigabyte GeForce RTX 3060 Gaming 12GB),AMD B550  (Gigabyte B550 Aorus Elite V2)
Komputronik Infinity X510 [D4] [oferta Outlet],5121.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1660 Ti,Intel H510  (Asus H510M-D)
Acer Predator Orion 3000 (DG.E2WEP.008),9490.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3070,Intel B660
Acer Nitro 50-640 (DG.E2VEP.00C),6790.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660
Acer Nitro 50-640 (DG.E2VEP.00D),6290.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660
Acer Nitro 50-640 (DG.E2VEP.007),5590.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660
Acer Nitro 50-640 (DG.E2VEP.009),8590.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660
Acer Nitro 50-640 (DG.E2VEP.008),5990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660
Acer Nitro 50-640 (DG.E2VEP.002),4549.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel B660
MSI MAG Infinite S 10TC-090EU - 512GB M.2 PCIe | 32GB,5190.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
ASUS ROG Strix G15DK-R5800X2200 - 512GB M.2 PCIe | 24GB | Windows 11 Home,6690.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
ASUS ROG Strix G15DK-R5800X2200 - 512GB M.2 PCIe | Windows 11 Home,6590.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
MSI MAG Infinite S 10TC-090EU - 1TB M.2 PCIe,5190.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0087PB) - 512GB M.2 PCIe | 32GB,4990.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560
MSI MAG Codex 5 11TC-460EU - 512GB M.2 PCIe | 32GB,5890.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
Komputronik Infinity HC712 [A03],14890.0,"i7-12700K (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF Gaming Z690-Plus Wifi D4)
ASUS ROG Strix G15DK-R5800X2200 - 512GB M.2 PCIe | 32GB | Windows 11 Home,6890.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
MSI MAG Infinite S 10TC-090EU - 512GB M.2 PCIe + 1TB HDD,5090.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
ASUS ROG Strix G15DK-R5800X2200 - 1TB M.2 PCIe | 24GB | Windows 11 Home,6990.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
MSI MAG Codex 5 11TC-460EU - 1TB M.2 PCIe | 32GB,6290.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
MSI MAG Codex 5 11TC-460EU - 1TB M.2 PCIe,5790.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,
Komputronik IEM X912 [B2],23290.0,"i9-12900KF (3.2 GHz, 5.2 GHz Turbo, 30MB Cache 125W)",GeForce RTX 3090  (ASUS GEFORCE RTX 3090 STRIX GAMING 24GB OC),Intel Z690  (ASUS ROG MAXIMUS Z690 HERO)
Lenovo IdeaCentre Gaming 5-14IOB6 (90RE0087PB),4999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560
Komputronik Infinity HC712 [A02],13990.0,"i7-12700K (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)",GeForce RTX 3070 Ti,Intel Z690  (ASUS TUF Gaming Z690-Plus Wifi D4)
